bitxhub_solo      | time="2024-06-06T07:55:09.643" level=info msg="Bxh transaction" gasUsed=210000 module=executor
bitxhub_solo      | time="2024-06-06T07:55:09.941" level=info msg="======== Call execute, height=19" module=order
bitxhub_solo      | time="2024-06-06T07:55:09.941" level=info msg="Generated block" count=1 height=19 module=app
bitxhub_solo      | time="2024-06-06T07:55:09.941" level=info msg="verify proof elapsed" count=1 fields.time="97.162µs" module=executor type=serial
bitxhub_solo      | time="2024-06-06T07:55:09.942" level=info msg="record invoke service" chainServiceID="ethappchain1:0xb00AC45963879cb9118d13120513585873f81Cdb" fromChainServiceID="ethappchain2:0xb00AC45963879cb9118d13120513585873f81Cdb" module=executor result=true
bitxhub_solo      | time="2024-06-06T07:55:09.942" level=info msg="Apply transactions elapsed" count=1 fields.time="287.1µs" module=executor
bitxhub_solo      | time="2024-06-06T07:55:09.942" level=info msg="Persisted block" count=1 elapse="164.026µs" hash=0x4b1c693B1006f668f50643ab0DE1ED842a4859c062f20C30AdE3055C9621756D height=19 module=executor
bitxhub_solo      | time="2024-06-06T07:55:09.942" level=info msg="Executed and Persisted block" count=1 elapse="796.124µs" height=19 module=executor
bitxhub_solo      | time="2024-06-06T07:55:09.942" level=info msg="classify block" count=1 elapse="5.713µs" height=19 module=router
bitxhub_solo      | time="2024-06-06T07:55:09.942" level=info msg="end send block to pier" count=1 elapse="64.381µs" height=19 module=router
bitxhub_solo      | time="2024-06-06T07:55:09.943" level=info msg="Bxh transaction" gasUsed=210000 module=executor
bitxhub_solo      | time="2024-06-06T07:55:17.816" level=info msg="======== Call execute, height=20" module=order
bitxhub_solo      | time="2024-06-06T07:55:17.816" level=info msg="Generated block" count=1 height=20 module=app
bitxhub_solo      | time="2024-06-06T07:55:17.816" level=info msg="verify proof elapsed" count=1 fields.time="104.962µs" module=executor type=serial
bitxhub_solo      | time="2024-06-06T07:55:17.816" level=info msg="Apply transactions elapsed" count=1 fields.time="186.511µs" module=executor
bitxhub_solo      | time="2024-06-06T07:55:17.817" level=info msg="Persisted block" count=1 elapse="183.646µs" hash=0x01Ca949128467Ce9593133486Cb87e3a4954CA9810B44f02A5F1199bD9e2829c height=20 module=executor
bitxhub_solo      | time="2024-06-06T07:55:17.817" level=info msg="Executed and Persisted block" count=1 elapse="750.464µs" height=20 module=executor
bitxhub_solo      | time="2024-06-06T07:55:17.817" level=info msg="classify block" count=1 elapse="5.789µs" height=20 module=router
bitxhub_solo      | time="2024-06-06T07:55:17.817" level=info msg="Report checkpoint" hash=0x01Ca949128467Ce9593133486Cb87e3a4954CA9810B44f02A5F1199bD9e2829c height=20 module=order
bitxhub_solo      | time="2024-06-06T07:55:17.817" level=info msg="end send block to pier" count=1 elapse="64.424µs" height=20 module=router
bitxhub_solo      | time="2024-06-06T07:55:17.818" level=info msg="Bxh transaction" gasUsed=210000 module=executor
bitxhub_solo      | time="2024-06-06T07:55:18.116" level=info msg="======== Call execute, height=21" module=order
bitxhub_solo      | time="2024-06-06T07:55:18.116" level=info msg="Generated block" count=1 height=21 module=app
bitxhub_solo      | time="2024-06-06T07:55:18.117" level=info msg="verify proof elapsed" count=1 fields.time="80.188µs" module=executor type=serial
bitxhub_solo      | time="2024-06-06T07:55:18.117" level=info msg="record invoke service" chainServiceID="ethappchain1:0xb00AC45963879cb9118d13120513585873f81Cdb" fromChainServiceID="ethappchain3:0xb00AC45963879cb9118d13120513585873f81Cdb" module=executor result=true
bitxhub_solo      | time="2024-06-06T07:55:18.117" level=info msg="Apply transactions elapsed" count=1 fields.time="324.586µs" module=executor
bitxhub_solo      | time="2024-06-06T07:55:18.117" level=info msg="Persisted block" count=1 elapse="156.23µs" hash=0x4eA4907aFC2C30ffa1a63BaEaf390385DAf9B6dC8E6dDBE57f13f24dc7e5F3f0 height=21 module=executor
bitxhub_solo      | time="2024-06-06T07:55:18.117" level=info msg="Executed and Persisted block" count=1 elapse="806.542µs" height=21 module=executor
bitxhub_solo      | time="2024-06-06T07:55:18.117" level=info msg="classify block" count=1 elapse="4.805µs" height=21 module=router
bitxhub_solo      | time="2024-06-06T07:55:18.117" level=info msg="end send block to pier" count=1 elapse="51.915µs" height=21 module=router
bitxhub_solo      | time="2024-06-06T07:55:18.118" level=info msg="Bxh transaction" gasUsed=210000 module=executor
